Ref,Val,Package,PosX,PosY,Rot,Side
"D195","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",90.268941,-185.903635,-51.802814,top
"D196","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",88.058677,-183.895725,-32.704220,top
"D197","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",85.848412,-181.887814,-51.802814,top
"D198","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",83.993303,-179.530152,-51.802814,top
"D199","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",82.138193,-177.172490,-51.802814,top
"D200","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",80.283084,-174.814829,-51.802814,top
"D201","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",78.427975,-172.457167,-51.802814,top
"D202","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",76.572865,-170.099505,-51.802814,top
"D203","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",75.141238,-167.478929,-70.901407,top
"D204","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",74.645851,-164.534177,-90.000000,top
"D205","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",74.150463,-161.589425,-70.901407,top
"D206","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",72.826555,-158.906052,-56.577462,top
"D207","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",71.618024,-156.175406,-75.676055,top
"D208","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",71.244973,-153.206558,-90.000000,top
"D209","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",71.244973,-150.206558,-90.000000,top
"D210","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",71.244973,-147.206558,-90.000000,top
"D211","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",70.749586,-144.261806,-70.901407,top
"D212","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",69.317959,-141.641230,-51.802814,top
"D213","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",67.462849,-139.283568,-51.802814,top
"D214","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",65.607740,-136.925906,-51.802814,top
"D215","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",67.179514,-135.689167,-51.802814,top
"D216","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",64.065070,-134.362043,-66.126759,top
"D217","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",63.204668,-131.496222,-80.450703,top
"D218","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",63.080030,-128.506626,-94.774648,top
"D219","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",63.698904,-125.579132,-109.098593,top
"D220","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",64.680488,-122.744261,-109.098593,top
"D221","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",66.643656,-117.074520,-109.098593,top
"D222","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",68.606824,-111.404778,-109.098593,top
"D223","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",69.588408,-108.569907,-109.098593,top
"D224","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",70.569992,-105.735036,-109.098593,top
